檔案,預測值
2.wav相似度8.wav,0.7006597
1.wav相似度7.wav,0.6907555
1.wav相似度8.wav,0.68882185
3.wav相似度8.wav,0.6852865
2.wav相似度3.wav,0.6540591
1.wav相似度3.wav,0.65103537
1.wav相似度2.wav,0.648859
2.wav相似度9.wav,0.63699555
7.wav相似度9.wav,0.63264394
2.wav相似度7.wav,0.5932098
3.wav相似度7.wav,0.5814182
0.wav相似度8.wav,0.55448496
0.wav相似度2.wav,0.5203458
4.wav相似度9.wav,0.5180862
6.wav相似度9.wav,0.50929517
1.wav相似度9.wav,0.50150466
6.wav相似度7.wav,0.486609
7.wav相似度8.wav,0.48137784
0.wav相似度3.wav,0.4663807
8.wav相似度9.wav,0.4626969
2.wav相似度4.wav,0.4584666
3.wav相似度9.wav,0.44847316
4.wav相似度7.wav,0.44422933
3.wav相似度4.wav,0.44380715
4.wav相似度8.wav,0.40189856
0.wav相似度9.wav,0.39149398
1.wav相似度4.wav,0.38586828
0.wav相似度4.wav,0.3778821
5.wav相似度6.wav,0.3666652
4.wav相似度6.wav,0.36580688
5.wav相似度9.wav,0.33532706
1.wav相似度6.wav,0.32907304
2.wav相似度6.wav,0.32707876
5.wav相似度8.wav,0.31675732
4.wav相似度5.wav,0.30077752
0.wav相似度1.wav,0.2896752
3.wav相似度6.wav,0.2879785
0.wav相似度7.wav,0.27022165
6.wav相似度8.wav,0.25418952
2.wav相似度5.wav,0.2511314
0.wav相似度6.wav,0.22864023
1.wav相似度5.wav,0.22269975
5.wav相似度7.wav,0.2168146
0.wav相似度5.wav,0.20478329
3.wav相似度5.wav,0.17165051
